2023-01-07 18:07:20,391:'g'
2023-01-07 18:07:21,662:'g'
2023-01-07 18:07:27,299:Key.space
2023-01-07 18:07:38,459:Key.ctrl_l
2023-01-07 18:07:38,572:'\x1a'
2023-01-07 18:07:48,403:Key.backspace
2023-01-07 18:07:48,595:Key.backspace
2023-01-07 18:07:48,741:Key.backspace
2023-01-07 18:07:56,605:Key.shift
2023-01-07 18:08:07,832:'k'
2023-01-07 18:08:07,956:'e'
2023-01-07 18:08:08,079:'y'
2023-01-07 18:08:08,260:Key.space
2023-01-07 18:08:08,372:'w'
2023-01-07 18:08:08,462:'o'
2023-01-07 18:08:08,597:'r'
2023-01-07 18:08:08,732:'d'
2023-01-07 18:08:08,890:'s'
2023-01-07 18:08:09,003:Key.space
2023-01-07 18:08:09,115:'n'
2023-01-07 18:08:09,261:'o'
2023-01-07 18:08:09,385:'t'
2023-01-07 18:08:09,453:Key.space
2023-01-07 18:08:09,722:'h'
2023-01-07 18:08:09,835:'i'
2023-01-07 18:08:10,139:'g'
2023-01-07 18:08:10,465:'l'
2023-01-07 18:08:10,645:'i'
2023-01-07 18:08:10,757:'g'
2023-01-07 18:08:10,870:'h'
2023-01-07 18:08:10,959:'t'
2023-01-07 18:08:11,466:'e'
2023-01-07 18:08:11,624:'d'
2023-01-07 18:08:11,691:Key.space
2023-01-07 18:08:12,491:'p'
2023-01-07 18:08:12,704:'y'
2023-01-07 18:08:12,816:'c'
2023-01-07 18:08:12,929:'h'
2023-01-07 18:08:13,007:'a'
2023-01-07 18:08:13,187:'r'
2023-01-07 18:08:13,266:'m'
2023-01-07 18:08:13,424:Key.enter
